,bitfinex,bitstamp,coinbase,kraken,bit-x,cex.io,exmo,itbit,cdd_binance
bitfinex,1.0,0.9999286045570454,0.999843881130748,0.9999140185736614,0.9998906783386748,0.9983598873185837,0.9989621594008941,0.999863457381788,0.9977016462183915
bitstamp,0.9999286045570454,1.0,0.9999593385052958,0.9999865975729963,0.9999566658563277,0.9986753242801231,0.9990637545055898,0.9999817969001031,0.9976140210745726
coinbase,0.999843881130748,0.9999593385052958,1.0,0.9999576406953585,0.9998908654986132,0.9988540514001067,0.9990273846616908,0.9999791028399786,0.9974971538020563
kraken,0.9999140185736614,0.9999865975729963,0.9999576406953585,1.0,0.9999342617079586,0.9987021200724603,0.9991020052227283,0.9999740913211842,0.9976687220649578
bit-x,0.9998906783386748,0.9999566658563277,0.9998908654986132,0.9999342617079586,1.0,0.9982981308250359,0.998925855922973,0.9999146105886825,0.997365744398079
cex.io,0.9983598873185837,0.9986753242801231,0.9988540514001067,0.9987021200724603,0.9982981308250359,1.0,0.9989559714439306,0.9984081338533606,0.994003209908614
exmo,0.9989621594008941,0.9990637545055898,0.9990273846616908,0.9991020052227283,0.998925855922973,0.9989559714439306,1.0,0.998814236239013,0.9947285036007812
itbit,0.999863457381788,0.9999817969001031,0.9999791028399786,0.9999740913211842,0.9999146105886825,0.9984081338533606,0.998814236239013,1.0,0.9964815985042188
cdd_binance,0.9977016462183915,0.9976140210745726,0.9974971538020563,0.9976687220649578,0.997365744398079,0.994003209908614,0.9947285036007812,0.9964815985042188,1.0
